"id","gender","overall6","address2","lcpoints","lcmaths","mathlev1","lcphysic","havephy","lcchem","havechem","lcappmth","haveappm","lcenr","haveenr","lcpch","havepch","lctdr","havetdr","caochc2","core1","core2","core3","award"
125,1,0,2,355,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
126,1,0,3,270,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
127,1,0,2,280,25,1,0,1,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
128,1,0,1,280,50,2,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
129,1,0,1,275,20,1,35,1,NA,0,NA,0,70,1,NA,0,NA,0,4,"maths","mech","engsci",1
130,0,0,3,285,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
131,1,0,1,280,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
132,1,0,2,300,35,1,30,1,NA,0,NA,0,NA,0,NA,0,70,1,3,"maths","mech","engsci",1
133,1,0,1,335,10,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
134,1,0,3,280,5,1,15,1,NA,0,NA,0,75,1,NA,0,55,1,4,"maths","mech","engsci",1
135,1,0,3,280,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
136,1,0,2,290,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
137,1,0,2,310,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
138,1,0,2,310,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
139,1,0,3,325,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
140,1,0,1,280,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
141,1,0,1,325,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
142,1,0,3,310,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,50,1,1,"maths","mech","engsci",1
143,1,0,1,280,25,1,35,1,NA,0,NA,0,80,1,NA,0,NA,0,2,"maths","mech","engsci",1
144,1,0,2,280,20,1,0,1,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
145,1,1,2,280,30,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
146,1,1,2,300,50,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
147,1,1,3,175,10,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
148,1,1,1,305,35,1,NA,0,NA,0,NA,0,75,1,NA,0,75,1,2,"maths","mech","engsci",1
149,1,1,2,340,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
150,1,1,3,410,50,1,65,1,NA,0,NA,0,NA,0,NA,0,70,1,1,"maths","mech","engsci",1
151,1,1,1,295,30,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
152,1,1,2,275,20,1,35,1,NA,0,NA,0,70,1,NA,0,NA,0,4,"maths","mech","engsci",1
153,1,1,1,330,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
154,1,1,3,305,25,1,35,1,NA,0,NA,0,45,1,NA,0,NA,0,1,"maths","mech","engsci",1
